2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
43720887.0,46240102.0,48924413.0,49919405.0,53900158.0,57721839.0,78231913.0,63808126.0,65415184.0,66904426.0,70996075.0,71405984.0,76012600.0,75058105.0
28666105.0,29910443.0,33697693.0,34902126.0,37082411.0,38623503.0,39731441.0,41080048.0,40624032.0,41616763.0,41344692.0,40999183.0,42098268.0,43729317.0
56041843.0,58967000.0,63250000.0,66365000.0,71773000.0,74210000.0,99810000.0,80875000.0,83561000.0,86524000.0,88326000.0,91796000.0,95632000.0,95625000.0
4756671.0,4995756.0,4980867.0,5611527.0,5895301.0,6050932.0,6171437.0,5851029.0,5812415.0,6132335.0,6406349.0,6351215.0,6657148.0,6544087.0
18215250.0,19131005.0,19875738.0,20285062.0,21811543.0,22569847.0,31275097.0,26405030.0,24727419.0,25026777.0,27449756.0,28209133.0,29246051.0,29723966.0
166654110.0,170537634.0,178171950.0,189674272.0,207702919.0,216863390.0,221558188.0,243089067.0,244611342.0,241144181.0,252544074.0,255459497.0,276434644.0,272876527.0
4926609.0,5270007.0,5732350.0,5944292.0,6497164.0,6743121.0,7590089.0,7989345.0,8144070.0,8033070.0,8082820.0,8274645.0,8540868.0,8378283.0
23502315.0,24123437.0,25737820.0,26438697.0,28775556.0,30046705.0,31572075.0,32561493.0,33500347.0,33491085.0,35002770.0,36055893.0,37748407.0,37234199.0
67749446.0,69480496.0,71219079.0,72989297.0,80837801.0,84310065.0,115569201.0,95522351.0,93610201.0,96787391.0,102808638.0,104421589.0,108317705.0,110427752.0
18107405.0,19706125.0,21248230.0,23149198.0,25554675.0,27630468.0,38869775.0,31384169.0,31917228.0,32423783.0,34204716.0,35308503.0,35732506.0,35848599.0
10935171.0,11441282.0,11936478.0,12286857.0,13181956.0,13639466.0,17018547.0,14780948.0,13933975.0,14167881.0,15360953.0,15702579.0,15838445.0,15560482.0
12039995.0,12078057.0,12747043.0,13285190.0,14592357.0,15390682.0,20878685.0,17100896.0,17195096.0,17008571.0,17604208.0,17999046.0,18544267.0,18736722.0
23445199.0,26495649.0,27803397.0,29008668.0,31048352.0,32611898.0,44228236.0,36943631.0,35747088.0,37744919.0,39416894.0,40346946.0,41193428.0,41845358.0
44731363.0,47490663.0,48691886.0,50881760.0,55729332.0,59365416.0,79589776.0,67510194.0,67508518.0,68685012.0,69524879.0,71882551.0,76389179.0,76790078.0
56722725.0,59512019.0,65943957.0,68402454.0,77699931.0,79481884.0,84817231.0,83200356.0,92778603.0,95962843.0,99657036.0,105090812.0,109704266.0,111191120.0
884535.0,939426.0,1010067.0,1062182.0,1138978.0,1355749.0,1458742.0,1525478.0,1569906.0,1660942.0,1667621.0,1739301.0,1958719.0,2111063.0
39536662.0,39720337.0,41079425.0,42293527.0,45669360.0,46567372.0,61340447.0,49284455.0,49302826.0,52089429.0,52300137.0,54365055.0,56788058.0,57008315.0
4895335.0,4947331.0,4814143.0,5077815.0,5454123.0,5886752.0,7189140.0,6363783.0,5976499.0,6088931.0,6573552.0,6716929.0,6927162.0,7048859.0
64033315.0,67044000.0,68006000.0,72230000.0,79873000.0,82499000.0,112045000.0,89881000.0,89377000.0,90009000.0,95875000.0,99391000.0,103194000.0,102504000.0
1940328.0,1977581.0,2282849.0,2582284.0,2595665.0,2905177.0,2912116.0,2946495.0,2706523.0,2842144.0,2995840.0,3158921.0,3128812.0,3311693.0
6507046.0,6814359.0,6999142.0,7289371.0,7684429.0,8120135.0,8476813.0,8964622.0,9135602.0,9145846.0,9328359.0,9532203.0,9402789.0,9681272.0
119448000.0,128345000.0,134403000.0,134548000.0,144916000.0,153285000.0,218774000.0,169099000.0,169827000.0,168429000.0,175180000.0,174373000.0,180634000.0,174838000.0
32506363.0,33525779.0,34070152.0,35236503.0,38288496.0,39575955.0,53331493.0,42948054.0,44312500.0,45477649.0,47785199.0,49169506.0,50512081.0,50850012.0
28476609.0,28662240.0,29795301.0,30635694.0,32377713.0,34388243.0,46938079.0,38620195.0,38016801.0,36930006.0,39592522.0,42983391.0,43236872.0,44456479.0
87769000.0,93829000.0,97940000.0,103502000.0,114161000.0,120280000.0,163032000.0,132304000.0,131068000.0,139573000.0,149600000.0,155074000.0,160266000.0,162477000.0
68146000.0,69924621.0,71600868.0,76999811.0,80310914.0,79758552.0,83519298.0,78628886.0,88027025.0,86890030.0,89048477.0,89015764.0,95107522.0,96506345.0
9245562.0,9844168.0,10322597.0,10705061.0,11612832.0,12246682.0,17263655.0,14224397.0,14639635.0,15326905.0,15984126.0,16815605.0,17868817.0,17767390.0
30887995.0,32011725.0,34055626.0,35238722.0,40163726.0,42079139.0,44575275.0,46690495.0,46822322.0,48587207.0,50570007.0,50549481.0,51229491.0,53337314.0
65773005.0,66173066.0,73643450.0,77583732.0,84271051.0,86893706.0,94663527.0,96336567.0,102371249.0,108169179.0,113131404.0,115994712.0,121252479.0,125459324.0
32113693.0,34151826.0,35425761.0,37724952.0,42346604.0,45250664.0,61482749.0,51564577.0,54093101.0,54344069.0,55269575.0,58303580.0,60950236.0,61943559.0
8869279.0,9132610.0,9539570.0,10034510.0,6966782.0,11052362.0,13651672.0,11500140.0,11643506.0,12108577.0,12568247.0,12924389.0,12886316.0,12994977.0
42106018.0,46051943.0,47889668.0,53004623.0,58326713.0,63652774.0,69063730.0,73939700.0,75499566.0,74243675.0,80058760.0,82539363.0,85352764.0,86677283.0
