Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PLYMOUTH,27621121.0,29460121.0,30905377.0,31972553.0,33934046.0,35077296.0,41305778.0,38157610.0,38802615.0,38916836.0,39823123.0,39027138.0,41549134.0,
POMFRET,8025561.0,8136728.0,9414619.0,9460601.0,10020126.0,10434376.0,10745935.0,11283773.0,11397839.0,11659752.0,11862998.0,12079037.0,12804637.0,13288985.0
PORTLAND,20025024.0,21134542.0,22080838.0,23383007.0,25764994.0,27070687.0,32141378.0,28747499.0,28410977.0,29700818.0,30324126.0,30640365.0,31489904.0,31991474.0
PRESTON,10421121.0,10628542.0,10411135.0,11189544.0,12979722.0,13661236.0,13968599.0,14704253.0,14285962.0,14512059.0,14767062.0,14884066.0,15917645.0,15479315.0
PROSPECT,19586069.0,20617892.0,20563042.0,21820753.0,23624779.0,24549847.0,25723150.0,26499110.0,26706376.0,27911884.0,27902473.0,28080535.0,29373789.0,31331634.0
PUTNAM,17474234.0,18169123.0,17517145.0,17786250.0,18788622.0,20037564.0,25850769.0,21489950.0,21166809.0,22259882.0,22424597.0,23159694.0,23898515.0,23676638.0
REDDING,28395096.0,31790548.0,32484882.0,34369430.0,36729526.0,39796728.0,46944272.0,43598328.0,44258962.0,45327300.0,47591281.0,48946331.0,50114162.0,49765977.0
RIDGEFIELD,75074025.0,84524163.0,95874476.0,102023235.0,107834966.0,112246691.0,140385235.0,124220117.0,125870767.0,126947323.0,131454232.0,134882642.0,138504979.0,142523343.0
ROCKY HILL,39894962.0,42514537.0,43710648.0,46402952.0,49949841.0,53479297.0,65829456.0,58530204.0,59106552.0,60668299.0,63275595.0,65778294.0,67982450.0,70463669.0
ROXBURY,6337386.0,6539921.0,7113669.0,7510763.0,7782906.0,8009540.0,8002119.0,8669252.0,8547302.0,8728624.0,9055615.0,9324683.0,9352838.0,9573112.0
SALEM,10404338.0,10973560.0,11273931.0,11294635.0,12492040.0,13597184.0,15389756.0,13877414.0,13209390.0,13861516.0,13462152.0,14346294.0,14458144.0,14996162.0
SALISBURY,9203579.0,9646865.0,9760450.0,10166450.0,10401999.0,11296703.0,12603187.0,11853652.0,11954884.0,12451321.0,12847942.0,12028880.0,12305026.0,12767388.0
SCOTLAND,4208178.0,4183439.0,4228552.0,4740193.0,4962432.0,5253196.0,5266271.0,5594386.0,5205469.0,5525074.0,5908961.0,5778285.0,5905026.0,6125257.0
SEYMOUR,34074332.0,36752872.0,40959561.0,41815590.0,44991282.0,46666333.0,57465643.0,49610755.0,46906716.0,49296452.0,52790755.0,54186926.0,56557388.0,58132197.0
SHARON,6659593.0,6939769.0,7481916.0,7897725.0,9335183.0,8169107.0,9711946.0,9564164.0,9444285.0,9654691.0,9845201.0,9473850.0,10404809.0,11265478.0
SHELTON,77741675.0,79868967.0,82486799.0,87289659.0,93410035.0,99450347.0,124476425.0,113136326.0,110391982.0,109376790.0,113998176.0,116942467.0,125754159.0,121963611.0
SHERMAN,8402892.0,8862278.0,9698156.0,10283440.0,11041026.0,11669525.0,13531782.0,12426741.0,12116319.0,12373680.0,13028687.0,13351911.0,14044616.0,13918646.0
SIMSBURY,60616071.0,64012380.0,69263375.0,71273381.0,76206037.0,81312403.0,103332301.0,88833228.0,89509307.0,90649471.0,92466018.0,94110370.0,98275421.0,96237301.0
SOMERS,21620867.0,22096047.0,23259518.0,24070588.0,25567044.0,26459338.0,34447278.0,29876252.0,28617617.0,29633612.0,31331987.0,31132524.0,32073915.0,32544500.0
SOUTH WINDSOR,64003566.0,68118195.0,71565775.0,72847201.0,78397486.0,82803123.0,105951865.0,92825542.0,94489126.0,97249164.0,102212074.0,102134606.0,109559718.0,110313636.0
SOUTHBURY,39046272.0,41139014.0,45424836.0,47954755.0,50553671.0,51918258.0,54258279.0,56175483.0,55975160.0,56859227.0,56404018.0,56260975.0,58232375.0,60351190.0
SOUTHINGTON,84358615.0,86633000.0,92820000.0,97047000.0,105473000.0,109658000.0,136700000.0,119058000.0,122003000.0,126114000.0,130549000.0,133470000.0,137030000.0,152888000.0
SPRAGUE,6310582.0,6629361.0,6776259.0,7697457.0,10343249.0,8585562.0,8769377.0,8588330.0,8558388.0,8736805.0,8957514.0,8819213.0,8907490.0,9339224.0
STAFFORD,27328006.0,28496925.0,28893766.0,29645170.0,31760650.0,32673497.0,42023363.0,36821503.0,35649925.0,35711548.0,38026487.0,38795102.0,40918071.0,46938496.0
STAMFORD,300891913.0,301371520.0,320104964.0,333873029.0,357732749.0,371990525.0,401138825.0,423539873.0,420758580.0,431930436.0,447832792.0,460093162.0,487288900.0,489227854.0
STERLING,6313250.0,6846108.0,7358548.0,7851228.0,8057587.0,8965044.0,9728420.0,10533037.0,10405414.0,10396480.0,10481208.0,10926938.0,11108809.0,10916125.0
STONINGTON,40206317.0,39904323.0,41885272.0,43496828.0,47192253.0,50228290.0,52669068.0,53794172.0,54774166.0,55504848.0,55888848.0,58758141.0,59798012.0,59860948.0
STRATFORD,129218159.0,137512006.0,145604542.0,154712700.0,159806871.0,167950297.0,204140980.0,182124913.0,181584584.0,189284788.0,194705628.0,205502130.0,365413667.0,217337885.0
SUFFIELD,30558589.0,32525218.0,34794066.0,38108614.0,40560301.0,42178259.0,53106984.0,46026643.0,46572829.0,47795860.0,50360030.0,50784326.0,51756931.0,53814443.0
THOMASTON,18227870.0,19035736.0,19673108.0,20387105.0,21746881.0,22939571.0,26508232.0,24149697.0,20728239.0,20760159.0,22120554.0,22471671.0,23090917.0,23088382.0
THOMPSON,15684796.0,16181434.0,16956574.0,17863486.0,19236252.0,20261080.0,25570770.0,21990024.0,22008181.0,22827048.0,23380222.0,23918213.0,24374888.0,24853860.0
TOLLAND,32518515.0,36750973.0,38503523.0,41952536.0,44555459.0,46262352.0,58659124.0,52396081.0,50435718.0,50992621.0,55470521.0,56171517.0,56693949.0,57475275.0
TORRINGTON,82232963.0,87598547.0,89844502.0,93543216.0,96984608.0,103154510.0,125772379.0,114473790.0,114943705.0,116200664.0,116282476.0,119412908.0,124999666.0,126043610.0
TRUMBULL,91973502.0,95629253.0,104297931.0,109057707.0,120594190.0,122669458.0,131771459.0,137607989.0,138959997.0,142427282.0,151312238.0,159978627.0,167026656.0,170497669.0
UNION,1600324.0,1699448.0,1788722.0,2214259.0,2029022.0,2520371.0,2349106.0,2458432.0,2508585.0,2583240.0,2780331.0,3043620.0,3116827.0,3316858.0
VERNON,60587641.0,62015031.0,63371598.0,65533467.0,70296978.0,71698078.0,88455455.0,77334900.0,77434462.0,82667959.0,86360679.0,85040040.0,87511824.0,89124230.0
VOLUNTOWN,6266663.0,6293075.0,6262836.0,6714866.0,6979103.0,7246157.0,8623231.0,7900416.0,7633663.0,7434363.0,7870308.0,8319082.0,8784313.0,8581215.0
WALLINGFORD,100006380.0,104397000.0,105407000.0,112838000.0,124215000.0,128074000.0,160666000.0,141043000.0,140254000.0,140892000.0,146359000.0,149505000.0,154671000.0,155959000.0
WARREN,2869961.0,3115417.0,3555859.0,3759959.0,3734289.0,4035278.0,4159785.0,4335227.0,3984381.0,4536455.0,5390608.0,4737348.0,4787017.0,4959727.0
